book_title,book_author,book_runtime
81. The Laws of Human Nature,By: Robert Greene,Length: 28 hrs and 26 mins
82. Wrong Place Wrong Time,By: Gillian McAllister,Length: 10 hrs and 7 mins
83. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
84. Tom Clancy Act of Defiance,"By: Brian Andrews, Jeffrey Wilson",Length: 17 hrs and 1 min
85. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
86. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
87. He Who Fights with Monsters 11: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 36 mins
88. Leather & Lark,By: Brynne Weaver,Length: 12 hrs and 15 mins
89. This Summer Will Be Different,By: Carley Fortune,Length: 10 hrs and 31 mins
90. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
91. Part of Your World,By: Abby Jimenez,Length: 10 hrs and 5 mins
92. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
93. Forgiving What You Can't Forget,By: Lysa TerKeurst,Length: 8 hrs and 20 mins
94. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
95. The #1 Lawyer,"By: James Patterson, Nancy Allen",Length: 13 hrs
